,username,tweet,link,date,language,near
28,News12NJ,"#Rutgers seeks parents willing to enlist babies, toddlers in COVID-19 vaccine trials   https://t.co/ySAvtUoamy",https://twitter.com/News12NJ/status/1465847967726936066,2021-12-01 03:59:24,en,New Jersey
29,TVJM697,@JonathanPieNews Man you are an idiot if you believe that paper mask protects you from Covid.,https://twitter.com/TVJM697/status/1465846576472109062,2021-12-01 03:53:52,en,New Jersey
30,JamesPomar,"@AGJeffLandry I’ve worked in a nursing home since the outbreak of Covid and I think it’s a travesty, but sure, go off. What a few more thousand dead?",https://twitter.com/JamesPomar/status/1465845874551103493,2021-12-01 03:51:05,en,New Jersey
31,kerlypls,my mom just found out she can’t fly back to ecuador if she doesn’t have her covid vaccine and now she’s getting j&amp;j and kenny was like i can’t believe mom who is so vocally an anti covid vaxxer is getting vaxxed and i’m still not allowed to get vaxxed,https://twitter.com/kerlypls/status/1465844783147110400,2021-12-01 03:46:45,en,New Jersey
32,BlowUpRadio,"We need to take this seriously  Remember to  #WearAMask  #GetVaccinated  #GetYourBooster  Only you can prevent the spread of covid, only you.",https://twitter.com/BlowUpRadio/status/1465844454590455821,2021-12-01 03:45:26,en,New Jersey
33,My3Alexandra,@PatriotSusan @CNN @andrewcuomo He should have been suspended when he was on his nightly show telling viewers how sick he was from Covid and having delirium talking to dead father but was caught in Hamptons outside and without a mask.,https://twitter.com/My3Alexandra/status/1465842443480440836,2021-12-01 03:37:27,en,New Jersey
34,njdotcom,U.S. panel backs first-of-a-kind COVID-19 pill from Merck  https://t.co/g0TGGs0Gbx  https://t.co/bSpFLAAdwt,https://twitter.com/njdotcom/status/1465842147391909893,2021-12-01 03:36:16,en,New Jersey
35,Wolfpak561,@_BENEDIBRAVA_ @tk_the_kitsune @WondersNorbit @Chortling_Man @SecularSandwich @JustinCPorter @globalist13903 @pray2pesci @StillDizzy2 @A_Damned_smith @TertiusIV @OnkelFester @IMudlet @1pckt @PraiseHisName50 @laughchem @horusrage @zypisfy @MDH_UAR @peter_telecom @Baphomet555666 @RealAnonDouche @ZKomala @RossGilroy @Cern_lXXl @EdwardMKennedy2 @TakeThatDarwin @LeannEAF @Simple_Shaman @BlueDragonsFang @SBuddie1877 @Superior2Logic @badgervindaloo @MsCredentials @zapher134 @kester_lowers @MucusMucous @GodflyThe @EricBonner31 @JLee2027 @Quin4Trump @Tiffany_Stuff @waragoodwarfare @willsworldview @tklforgiven @hauxton @KaasKeizer @JohnKrahn2 @WmManry @SPortoghesi Life is constantly changing..just look at covid..what happened to the dinosaurs? And what happened after? Life changed dramatically…,https://twitter.com/Wolfpak561/status/1465841522868379649,2021-12-01 03:33:47,en,New Jersey
36,NJSpotlightNews,The CDC is strengthening its recommendation on COVID-19 booster shots following the emergence of the omicron variant.  https://t.co/q4XnXgeA3B,https://twitter.com/NJSpotlightNews/status/1465840570023227399,2021-12-01 03:30:00,en,New Jersey
37,NJSpotlightNews,COVID-19 numbers on the rise: Tonight's Spotlight -  https://t.co/YEq1Z3FBbd  https://t.co/XUPpvx4TqV,https://twitter.com/NJSpotlightNews/status/1465840028748337160,2021-12-01 03:27:51,en,New Jersey
38,northjersey,FDA panel narrowly recommends authorization of first antiviral to treat COVID-19  https://t.co/7FF26YP8Xu,https://twitter.com/northjersey/status/1465834545186488324,2021-12-01 03:06:04,en,New Jersey
39,BlueShirts2015,Daystar founder Marcus Lamb dies after battle with COVID-19 |  https://t.co/ew8Kwy8KFi  https://t.co/XgO5IrE2IM,https://twitter.com/BlueShirts2015/status/1465833330826522627,2021-12-01 03:01:14,en,New Jersey
40,EvitorialPage,hbot was the most profoundly helpful treatment ive ever had. If I knew I had ME before starting i'd have known how to handle the improvement afterward.    It should be more affordable and anyone with recently acquired long covid or mecfs should look into it if they can afford it,https://twitter.com/EvitorialPage/status/1465829174896173057,2021-12-01 02:44:43,en,New Jersey
41,_OsoD_,@FDSportsbook does my lakers ML get voided because Lebron is out tonight due to COVID?  I simply picked them because he was playing,https://twitter.com/_OsoD_/status/1465828926249394183,2021-12-01 02:43:44,en,New Jersey
42,BeckyakaGaggy," https://t.co/XydtFe9ovl  Comments by Stéphane Bancel, head of the drugmaker, sparked fresh worry in financial markets about the trajectory of the COVID-19 pandemic.",https://twitter.com/BeckyakaGaggy/status/1465828742937423874,2021-12-01 02:43:00,en,New Jersey
43,QuietObserver14,@CNNPolitics How are Republicans and anti-vaxers supporting every measure aimed at thwarting Covid transmission while simultaneously blaming Biden for the fact that Covid persists?,https://twitter.com/QuietObserver14/status/1465827761415671810,2021-12-01 02:39:06,en,New Jersey
44,TruthSeeker2328,More people dying from Covid in 2021 than in 2020 so how’s that vaccine working for ya’?  https://t.co/lLXJLSEf44,https://twitter.com/TruthSeeker2328/status/1465824843169996805,2021-12-01 02:27:30,en,New Jersey
